seqid	source	type	start	end	score	strand	phase	attributes	chr	id	old_lt
CP023154	GenBank	CDS	18310	18864	.	-	1	ID=PFDSM3638_00055.p01;Parent=PFDSM3638_00055.t01;Name=PFDSM3638_00055;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010884220.1;product=RNA 2'%2C3'-cyclic phosphodiesterase;protein_id=PRJNA382684:PFDSM3638_00055;transl_table=11;translation=length.184	CP023154	PFDSM3638_00055	PF0027
CP023154	GenBank	CDS	19151	19603	.	-	1	ID=PFDSM3638_00060.p01;Parent=PFDSM3638_00060.t01;Name=PFDSM3638_00060;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011140.1;product=N-acetyltransferase;protein_id=PRJNA382684:PFDSM3638_00060;transl_table=11;translation=length.150	CP023154	PFDSM3638_00060	PF0028
CP023154	GenBank	CDS	19584	21017	.	-	1	ID=PFDSM3638_00065.p01;Parent=PFDSM3638_00065.t01;Name=PFDSM3638_00065;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011141.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_00065;transl_table=11;translation=length.477	CP023154	PFDSM3638_00065	PF0029
CP023154	GenBank	CDS	20998	22095	.	-	1	ID=PFDSM3638_00070.p01;Parent=PFDSM3638_00070.t01;Name=PFDSM3638_00070;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011142.1;product=DUF1611 domain-containing protein;protein_id=PRJNA382684:PFDSM3638_00070;transl_table=11;translation=length.365	CP023154	PFDSM3638_00070	PF0030
CP023154	GenBank	CDS	22098	23000	.	-	1	ID=PFDSM3638_00075.p01;Parent=PFDSM3638_00075.t01;Name=PFDSM3638_00075;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014835492.1;product=PLP-dependent lyase/thiolase;protein_id=PRJNA382684:PFDSM3638_00075;transl_table=11;translation=length.300	CP023154	PFDSM3638_00075	PF0031
CP023154	GenBank	CDS	23500	23784	.	+	1	ID=PFDSM3638_00085.p01;Parent=PFDSM3638_00085.t01;Name=PFDSM3638_00085;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011144.1;product=permease;protein_id=PRJNA382684:PFDSM3638_00085;transl_table=11;translation=length.94	CP023154	PFDSM3638_00085	PF0032
CP023154	GenBank	CDS	23760	24035	.	+	1	ID=PFDSM3638_00090.p01;Parent=PFDSM3638_00090.t01;Name=PFDSM3638_00090;Note=Derived by automated computational analysis using gene prediction method: GeneMarkS+.;codon_start=1;inference=COORDINATES: ab initio prediction:GeneMarkS+;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_00090;transl_table=11;translation=length.91	CP023154	PFDSM3638_00090	RS10470
CP023154	GenBank	CDS	24170	24748	.	-	1	ID=PFDSM3638_00095.p01;Parent=PFDSM3638_00095.t01;Name=PFDSM3638_00095;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011146.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_00095;transl_table=11;translation=length.192	CP023154	PFDSM3638_00095	PF0034
CP023154	GenBank	CDS	24874	25842	.	+	1	ID=PFDSM3638_00100.p01;Parent=PFDSM3638_00100.t01;Name=PFDSM3638_00100;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011147.1;product=ABC transporter ATP-binding protein;protein_id=PRJNA382684:PFDSM3638_00100;transl_table=11;translation=length.322	CP023154	PFDSM3638_00100	PF0035
CP023154	GenBank	CDS	25829	26620	.	+	1	ID=PFDSM3638_00105.p01;Parent=PFDSM3638_00105.t01;Name=PFDSM3638_00105;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014835489.1;product=daunorubicin resistance protein;protein_id=PRJNA382684:PFDSM3638_00105;transl_table=11;translation=length.263	CP023154	PFDSM3638_00105	PF0036
CP023154	GenBank	CDS	26993	28687	.	-	1	ID=PFDSM3638_00110.p01;Parent=PFDSM3638_00110.t01;Name=PFDSM3638_00110;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011149.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_00110;transl_table=11;translation=length.564	CP023154	PFDSM3638_00110	PF0037
CP023154	GenBank	CDS	28684	29274	.	-	1	ID=PFDSM3638_00115.p01;Parent=PFDSM3638_00115.t01;Name=PFDSM3638_00115;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011150.1;product=MBL fold metallo-hydrolase;protein_id=PRJNA382684:PFDSM3638_00115;transl_table=11;translation=length.196	CP023154	PFDSM3638_00115	PF0038
CP023154	GenBank	CDS	29317	29778	.	-	1	ID=PFDSM3638_00120.p01;Parent=PFDSM3638_00120.t01;Name=PFDSM3638_00120;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_012572777.1;product=phosphoribosyltransferase;protein_id=PRJNA382684:PFDSM3638_00120;transl_table=11;translation=length.153	CP023154	PFDSM3638_00120	PF0039
CP023154	GenBank	CDS	29803	30378	.	-	1	ID=PFDSM3638_00125.p01;Parent=PFDSM3638_00125.t01;Name=PFDSM3638_00125;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011152.1;product=phosphatase PAP2 family protein;protein_id=PRJNA382684:PFDSM3638_00125;transl_table=11;translation=length.191	CP023154	PFDSM3638_00125	PF0040
CP023154	GenBank	CDS	30401	32143	.	-	1	ID=PFDSM3638_00130.p01;Parent=PFDSM3638_00130.t01;Name=PFDSM3638_00130;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011153.1;product=radical SAM protein;protein_id=PRJNA382684:PFDSM3638_00130;transl_table=11;translation=length.580	CP023154	PFDSM3638_00130	PF0041
CP023154	GenBank	CDS	32140	32883	.	-	1	ID=PFDSM3638_00135.p01;Parent=PFDSM3638_00135.t01;Name=PFDSM3638_00135;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011154.1;product=metal-dependent hydrolase;protein_id=PRJNA382684:PFDSM3638_00135;transl_table=11;translation=length.247	CP023154	PFDSM3638_00135	PF0042
CP023154	GenBank	CDS	32948	35401	.	-	1	ID=PFDSM3638_00140.p01;Parent=PFDSM3638_00140.t01;Name=PFDSM3638_00140;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011155.1;product=phosphoenolpyruvate synthase;protein_id=PRJNA382684:PFDSM3638_00140;transl_table=11;translation=length.817	CP023154	PFDSM3638_00140	PF0043
CP023154	GenBank	CDS	35525	36910	.	-	1	ID=PFDSM3638_00145.p01;Parent=PFDSM3638_00145.t01;Name=PFDSM3638_00145;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011156.1;product=glycosyltransferase;protein_id=PRJNA382684:PFDSM3638_00145;transl_table=11;translation=length.461	CP023154	PFDSM3638_00145	PF0044
CP023154	GenBank	CDS	36900	37934	.	-	1	ID=PFDSM3638_00150.p01;Parent=PFDSM3638_00150.t01;Name=PFDSM3638_00150;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011157.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_00150;transl_table=11;translation=length.344	CP023154	PFDSM3638_00150	PF0045
CP023154	GenBank	CDS	37921	38889	.	-	1	ID=PFDSM3638_00155.p01;Parent=PFDSM3638_00155.t01;Name=PFDSM3638_00155;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011158.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_00155;transl_table=11;translation=length.322	CP023154	PFDSM3638_00155	PF0046
CP023154	GenBank	CDS	38889	39557	.	-	1	ID=PFDSM3638_00160.p01;Parent=PFDSM3638_00160.t01;Name=PFDSM3638_00160;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011159.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_00160;transl_table=11;translation=length.222	CP023154	PFDSM3638_00160	PF0047
CP023154	GenBank	CDS	39613	40335	.	+	1	ID=PFDSM3638_00165.p01;Parent=PFDSM3638_00165.t01;Name=queC;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011160.1;locus_tag=PFDSM3638_00165;product=7-cyano-7-deazaguanine synthase;protein_id=PRJNA382684:PFDSM3638_00165;transl_table=11;translation=length.240	CP023154	PFDSM3638_00165	PF0048
CP023154	GenBank	CDS	40319	41224	.	-	1	ID=PFDSM3638_00170.p01;Parent=PFDSM3638_00170.t01;Name=PFDSM3638_00170;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011161.1;product=DNA cytosine methyltransferase;protein_id=PRJNA382684:PFDSM3638_00170;transl_table=11;translation=length.301	CP023154	PFDSM3638_00170	PF0049
CP023154	GenBank	CDS	41225	41512	.	-	1	ID=PFDSM3638_00175.p01;Parent=PFDSM3638_00175.t01;Name=PFDSM3638_00175;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011162.1;product=DNA-directed RNA polymerase subunit L;protein_id=PRJNA382684:PFDSM3638_00175;transl_table=11;translation=length.95	CP023154	PFDSM3638_00175	PF0050
CP023154	GenBank	CDS	41472	42131	.	-	1	ID=PFDSM3638_00180.p01;Parent=PFDSM3638_00180.t01;Name=PFDSM3638_00180;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011163.1;product=DUF2067 domain-containing protein;protein_id=PRJNA382684:PFDSM3638_00180;transl_table=11;translation=length.219	CP023154	PFDSM3638_00180	PF0051
CP023154	GenBank	CDS	42128	42721	.	-	1	ID=PFDSM3638_00185.p01;Parent=PFDSM3638_00185.t01;Name=PFDSM3638_00185;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011164.1;product=RNA-binding protein;protein_id=PRJNA382684:PFDSM3638_00185;transl_table=11;translation=length.197	CP023154	PFDSM3638_00185	PF0052
CP023154	GenBank	CDS	42718	45228	.	-	1	ID=PFDSM3638_00190.p01;Parent=PFDSM3638_00190.t01;Name=PFDSM3638_00190;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011165.1;product=RNA helicase;protein_id=PRJNA382684:PFDSM3638_00190;transl_table=11;translation=length.836	CP023154	PFDSM3638_00190	PF0053
CP023154	GenBank	CDS	45237	45704	.	-	1	ID=PFDSM3638_00195.p01;Parent=PFDSM3638_00195.t01;Name=PFDSM3638_00195;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011166.1;product=transcriptional regulator;protein_id=PRJNA382684:PFDSM3638_00195;transl_table=11;translation=length.155	CP023154	PFDSM3638_00195	PF0054
CP023154	GenBank	CDS	45713	46048	.	-	1	ID=PFDSM3638_00200.p01;Parent=PFDSM3638_00200.t01;Name=PFDSM3638_00200;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011167.1;product=transcriptional regulator;protein_id=PRJNA382684:PFDSM3638_00200;transl_table=11;translation=length.111	CP023154	PFDSM3638_00200	PF0055
CP023154	GenBank	CDS	46111	46479	.	-	1	ID=PFDSM3638_00205.p01;Parent=PFDSM3638_00205.t01;Name=PFDSM3638_00205;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011168.1;product=cupin domain-containing protein;protein_id=PRJNA382684:PFDSM3638_00205;transl_table=11;translation=length.122	CP023154	PFDSM3638_00205	PF0056
CP023154	GenBank	CDS	46551	48203	.	+	1	ID=PFDSM3638_00210.p01;Parent=PFDSM3638_00210.t01;Name=PFDSM3638_00210;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014835487.1;product=DUF4910 domain-containing protein;protein_id=PRJNA382684:PFDSM3638_00210;transl_table=11;translation=length.550	CP023154	PFDSM3638_00210	PF0057
CP023154	GenBank	CDS	48196	49254	.	-	1	ID=PFDSM3638_00215.p01;Parent=PFDSM3638_00215.t01;Name=PFDSM3638_00215;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014835486.1;product=dolichol monophosphate mannose synthase;protein_id=PRJNA382684:PFDSM3638_00215;transl_table=11;translation=length.352	CP023154	PFDSM3638_00215	PF0058
CP023154	GenBank	CDS	49289	49972	.	-	1	ID=PFDSM3638_00220.p01;Parent=PFDSM3638_00220.t01;Name=PFDSM3638_00220;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_013748047.1;product=fibrillin;protein_id=PRJNA382684:PFDSM3638_00220;transl_table=11;translation=length.227	CP023154	PFDSM3638_00220	PF0059
CP023154	GenBank	CDS	49978	51186	.	-	1	ID=PFDSM3638_00225.p01;Parent=PFDSM3638_00225.t01;Name=PFDSM3638_00225;Note=functions along with aFIB and aL7a%3B guides 2'-O-methylation of ribose to specific sites in RNAs%3B Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011172.1;product=C/D box methylation guide ribonucleoprotein complex aNOP56 subunit;protein_id=PRJNA382684:PFDSM3638_00225;transl_table=11;translation=length.402	CP023154	PFDSM3638_00225	PF0060
CP023154	GenBank	CDS	51252	51803	.	-	1	ID=PFDSM3638_00230.p01;Parent=PFDSM3638_00230.t01;Name=PFDSM3638_00230;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011173.1;product=riboflavin synthase;protein_id=PRJNA382684:PFDSM3638_00230;transl_table=11;translation=length.183	CP023154	PFDSM3638_00230	PF0061
CP023154	GenBank	CDS	51796	52860	.	-	1	ID=PFDSM3638_00235.p01;Parent=PFDSM3638_00235.t01;Name=ribD;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011174.1;locus_tag=PFDSM3638_00235;product=riboflavin biosynthesis protein RibD;protein_id=PRJNA382684:PFDSM3638_00235;transl_table=11;translation=length.354	CP023154	PFDSM3638_00235	PF0062
CP023154	GenBank	CDS	52850	53323	.	-	1	ID=PFDSM3638_00240.p01;Parent=PFDSM3638_00240.t01;Name=PFDSM3638_00240;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011175.1;product=6%2C7-dimethyl-8-ribityllumazine synthase;protein_id=PRJNA382684:PFDSM3638_00240;transl_table=11;translation=length.157	CP023154	PFDSM3638_00240	PF0063
CP023154	GenBank	CDS	53320	54483	.	-	1	ID=PFDSM3638_00245.p01;Parent=PFDSM3638_00245.t01;eC_number=3.5.4.25,4.1.99.12;Name=PFDSM3638_00245;Note=bifunctional enzyme DHBP synthase/GTP cyclohydrolase II%3B functions in riboflavin synthesis%3B converts GTP to 2%2C5-diamino-6-hydroxy-4-(5-phosphoribosylamino)pyrimidine%3B converts ribulose 5-phopshate to 3%2C4-dihydroxy-2-butanone 4-phosphate%3B Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015858870.1;product=bifunctional 3%2C4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II;protein_id=PRJNA382684:PFDSM3638_00245;transl_table=11;translation=length.387	CP023154	PFDSM3638_00245	PF0064
CP023154	GenBank	CDS	54600	55232	.	+	1	ID=PFDSM3638_00250.p01;Parent=PFDSM3638_00250.t01;Name=PFDSM3638_00250;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011177.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_00250;transl_table=11;translation=length.210	CP023154	PFDSM3638_00250	PF0065
CP023154	GenBank	CDS	55186	55917	.	-	1	ID=PFDSM3638_00255.p01;Parent=PFDSM3638_00255.t01;Name=PFDSM3638_00255;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014835482.1;product=energy-coupling factor transporter transmembrane protein EcfT;protein_id=PRJNA382684:PFDSM3638_00255;transl_table=11;translation=length.243	CP023154	PFDSM3638_00255	NA
CP023154	GenBank	CDS	55914	56696	.	-	1	ID=PFDSM3638_00260.p01;Parent=PFDSM3638_00260.t01;Name=PFDSM3638_00260;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011180.1;product=ABC transporter ATP-binding protein;protein_id=PRJNA382684:PFDSM3638_00260;transl_table=11;translation=length.260	CP023154	PFDSM3638_00260	PF0068
CP023154	GenBank	CDS	56754	57455	.	-	1	ID=PFDSM3638_00265.p01;Parent=PFDSM3638_00265.t01;Name=PFDSM3638_00265;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011181.1;product=IS6 family transposase ISPfu2;protein_id=PRJNA382684:PFDSM3638_00265;transl_table=11;translation=length.233	CP023154	PFDSM3638_00265	NA
CP023154	GenBank	CDS	57633	58535	.	+	1	ID=PFDSM3638_00270.p01;Parent=PFDSM3638_00270.t01;Name=PFDSM3638_00270;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010884247.1;product=phosphoserine phosphatase;protein_id=PRJNA382684:PFDSM3638_00270;transl_table=11;translation=length.300	CP023154	PFDSM3638_00270	PF0070
CP023154	GenBank	CDS	58541	60253	.	+	1	ID=PFDSM3638_00275.p01;Parent=PFDSM3638_00275.t01;Name=PFDSM3638_00275;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011183.1;product=RNA-binding protein;protein_id=PRJNA382684:PFDSM3638_00275;transl_table=11;translation=length.570	CP023154	PFDSM3638_00275	PF0071
CP023154	GenBank	CDS	60250	61392	.	-	1	ID=PFDSM3638_00280.p01;Parent=PFDSM3638_00280.t01;Name=PFDSM3638_00280;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011184.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_00280;transl_table=11;translation=length.380	CP023154	PFDSM3638_00280	PF0072
CP023154	GenBank	CDS	61780	63198	.	-	1	ID=PFDSM3638_00295.p01;Parent=PFDSM3638_00295.t01;Name=PFDSM3638_00295;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011185.1;product=glycoside hydrolase family 1 protein;protein_id=PRJNA382684:PFDSM3638_00295;transl_table=11;translation=length.472	CP023154	PFDSM3638_00295	PF0073
CP023154	GenBank	CDS	63374	64078	.	+	1	ID=PFDSM3638_00300.p01;Parent=PFDSM3638_00300.t01;Name=PFDSM3638_00300;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014835480.1;product=NAD(P)-dependent oxidoreductase;protein_id=PRJNA382684:PFDSM3638_00300;transl_table=11;translation=length.234	CP023154	PFDSM3638_00300	PF0074
CP023154	GenBank	CDS	64089	65261	.	+	1	ID=PFDSM3638_00305.p01;Parent=PFDSM3638_00305.t01;Name=PFDSM3638_00305;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011187.1;product=alcohol dehydrogenase;protein_id=PRJNA382684:PFDSM3638_00305;transl_table=11;translation=length.390	CP023154	PFDSM3638_00305	PF0075
CP023154	GenBank	CDS	65274	66167	.	+	1	ID=PFDSM3638_00310.p01;Parent=PFDSM3638_00310.t01;Name=PFDSM3638_00310;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011188.1;product=hydrolase;protein_id=PRJNA382684:PFDSM3638_00310;transl_table=11;translation=length.297	CP023154	PFDSM3638_00310	PF0076
CP023154	GenBank	CDS	66209	66916	.	+	1	ID=PFDSM3638_00315.p01;Parent=PFDSM3638_00315.t01;Name=PFDSM3638_00315;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011189.1;product=biotin--[acetyl-CoA-carboxylase] ligase;protein_id=PRJNA382684:PFDSM3638_00315;transl_table=11;translation=length.235	CP023154	PFDSM3638_00315	PF0077
CP023154	GenBank	CDS	66899	67807	.	-	1	ID=PFDSM3638_00320.p01;Parent=PFDSM3638_00320.t01;Name=PFDSM3638_00320;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011190.1;product=2-phosphoglycerate kinase;protein_id=PRJNA382684:PFDSM3638_00320;transl_table=11;translation=length.302	CP023154	PFDSM3638_00320	PF0078
CP023154	GenBank	CDS	67791	69083	.	-	1	ID=PFDSM3638_00325.p01;Parent=PFDSM3638_00325.t01;Name=PFDSM3638_00325;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011191.1;product=2%2C3-diphosphoglycerate synthetase;protein_id=PRJNA382684:PFDSM3638_00325;transl_table=11;translation=length.430	CP023154	PFDSM3638_00325	PF0079
